ID,Name,Rank,Rarity_Score,Attributes,black & white,board material,feeling,free will,mode,number of layers,rendering,round pads drilling,shape,side
1046705,Bright Circuits #19,1,261.22603829851886,10,no,75k pink,bloody angry,artistic rebellion,text,2,isometric 3D,never,freedom,bright
1046723,Bright Circuits #29,2,239.42543101106946,10,no,75k pink,blissfully doubtful,obedient,text,2,isometric 3D,never,boxed,bright
1048100,Bright Circuits #114,3,234.2293485675727,10,no,paper,randomly sad,cartesian rebellion,text,1,flat 2D,never,boxed,dark
1046487,Bright Circuits #2,4,226.50291776287827,10,yes,paper,approximately lustful,obedient,random points,1,flat 2D,never,heart,dark
1047156,Bright Circuits #64,5,222.78918208393517,10,no,sandpaper,chiefly clueless,cartesian rebellion,text,2,isometric 3D,never,heart,dark
1047661,Bright Circuits #105,6,222.5967292537465,10,no,paper,vaguely bewitched,cartesian rebellion,text,2,isometric 3D,never,heart,dark
1047359,Bright Circuits #74,7,220.56166756952317,10,no,glass,slightly sad,artistic rebellion,text,3,isometric 3D,never,heart,bright
1063564,Bright Circuits #140,8,215.7370801309395,10,no,paper,half bewitched,cartesian rebellion,text,2,isometric 3D,never,freedom,dark
1046993,Bright Circuits #57,9,214.98872586772077,10,no,paper,vaguely relieved,artistic rebellion,random points,3,isometric 3D,never,circle,dark
1047435,Bright Circuits #81,10,213.9182345911372,10,no,paper,almost melancholic,cartesian rebellion,text,2,isometric 3D,never,circle,bright
1087563,Bright Circuits #154,11,211.9159959127985,10,yes,paper,vaguely enthusiastic,obedient,random points,3,flat 2D,never,freedom,dark
1046483,Bright Circuits #1,12,208.8437947107649,10,no,glass,perhaps sad,obedient,text,3,isometric 3D,never,skull,dark
1047475,Bright Circuits #86,13,208.7007167148223,10,no,sandpaper,almost happy,obedient,text,3,isometric 3D,never,skull,bright
1048099,Bright Circuits #113,14,208.50232905285682,10,no,paper,partly happy,artistic rebellion,random points,2,isometric 3D,never,circle,dark
1047908,Bright Circuits #109,15,208.13326967164787,10,no,sandpaper,almost joyful,obedient,text,2,flat 2D,never,skull,bright
1046743,Bright Circuits #39,16,207.99622143096255,10,no,glass,clearly tormented,artistic rebellion,random points,2,isometric 3D,never,freedom,bright
1053991,Bright Circuits #127,17,207.96858433453235,10,no,glass,chiefly joyful,obedient,random points,1,flat 2D,never,freedom,bright
1055504,Bright Circuits #132,17,207.96858433453235,10,no,glass,eventually shameless,obedient,random points,1,flat 2D,never,freedom,bright
1069633,Bright Circuits #153,19,207.76691880166354,10,no,paper,half melancholic,artistic rebellion,text,2,isometric 3D,never,freedom,bright
1046724,Bright Circuits #30,20,207.21506145328198,10,no,glass,sadly thrilled,obedient,random points,1,flat 2D,never,boxed,dark
1047658,Bright Circuits #104,21,207.17821165417163,10,no,sandpaper,particularly restless,obedient,text,1,flat 2D,never,boxed,dark
1046704,Bright Circuits #18,22,206.80726416137367,10,no,paper,approximately adventurous,obedient,text,1,flat 2D,never,circle,bright
1055835,Bright Circuits #134,22,206.80726416137367,10,no,paper,slightly puzzled,obedient,text,1,flat 2D,never,circle,bright
1047527,Bright Circuits #93,24,206.29138365822902,10,no,sandpaper,randomly envious,obedient,text,1,flat 2D,never,boxed,bright
1047194,Bright Circuits #66,25,206.28360408799253,10,no,glass,randomly restless,artistic rebellion,text,2,isometric 3D,never,circle,bright
1047930,Bright Circuits #110,25,206.28360408799253,10,no,glass,oddly shameless,artistic rebellion,text,2,isometric 3D,never,circle,bright
1048128,Bright Circuits #116,27,206.25596699156233,10,no,glass,approximately nostalgic,obedient,text,1,flat 2D,never,circle,bright
1046715,Bright Circuits #25,28,205.81900127924072,10,yes,glass,definitely confused,obedient,random points,2,isometric 3D,never,heart,dark
1048394,Bright Circuits #117,29,204.9321732832981,10,yes,glass,substancially deterministic,obedient,random points,2,isometric 3D,never,heart,bright
1056158,Bright Circuits #139,30,204.89532348418777,10,yes,sandpaper,plain sensitive,obedient,text,2,isometric 3D,never,heart,bright
1046693,Bright Circuits #8,31,203.1379976950113,10,no,glass,weirdly irritated,obedient,random points,2,isometric 3D,never,skull,dark
1063569,Bright Circuits #142,32,202.68926746886305,10,yes,paper,eventually jealous,obedient,text,3,isometric 3D,never,boxed,bright
1134486,Bright Circuits #158,33,202.2511696990687,10,no,glass,clearly pessimistic,obedient,random points,2,isometric 3D,never,skull,bright
1051958,Bright Circuits #122,34,202.21431989995835,10,no,sandpaper,particularly worried,obedient,text,2,isometric 3D,never,skull,bright
1047526,Bright Circuits #92,35,202.02186706976968,10,no,paper,oddly adorable,obedient,text,2,isometric 3D,never,skull,bright
1054028,Bright Circuits #129,36,201.47056989995835,10,no,glass,half proud,obedient,text,2,isometric 3D,never,skull,bright
1145389,Bright Circuits #166,37,201.28823915520937,10,no,glass,shamelessly anxious,obedient,text,3,isometric 3D,never,heart,dark
1047558,Bright Circuits #97,38,201.12813960320221,10,no,glass,half doubtful,obedient,random points,3,flat 2D,never,freedom,dark
1046702,Bright Circuits #16,39,199.30929406339993,10,no,glass,sadly relieved,obedient,random points,3,flat 2D,never,circle,bright
1046493,Bright Circuits #3,40,198.9593521564337,10,yes,glass,clearly in love,obedient,random points,2,isometric 3D,never,freedom,dark
1046756,Bright Circuits #43,40,198.9593521564337,10,yes,glass,mostly bewitched,obedient,random points,2,isometric 3D,never,freedom,dark
1063617,Bright Circuits #146,42,198.17875235732336,10,yes,glass,joyfully sceptic,obedient,text,2,isometric 3D,never,freedom,dark
1063610,Bright Circuits #143,43,197.88425661663143,10,yes,sandpaper,randomly excited,obedient,random points,2,isometric 3D,never,circle,bright
1063566,Bright Circuits #141,44,197.29192436138075,10,yes,glass,sadly jealous,obedient,text,2,isometric 3D,never,freedom,bright
1047047,Bright Circuits #59,45,197.17592328329812,10,yes,sandpaper,plain angry,obedient,random points,2,isometric 3D,never,boxed,bright
1047478,Bright Circuits #88,45,197.17592328329812,10,yes,sandpaper,maybe nostalgic,obedient,random points,2,isometric 3D,never,boxed,bright
1050323,Bright Circuits #119,47,196.35990681752108,10,yes,glass,mostly joyful,obedient,text,2,isometric 3D,never,circle,bright
1046695,Bright Circuits #10,48,195.43936414351316,10,no,sandpaper,clearly shameless,obedient,random points,2,isometric 3D,never,heart,bright
1047207,Bright Circuits #69,49,195.38549278833827,10,no,sandpaper,bloody curious,obedient,random points,2,flat 2D,never,freedom,dark
1047943,Bright Circuits #111,50,195.2469113133245,10,no,paper,half sensitive,obedient,random points,2,isometric 3D,never,heart,bright
1056072,Bright Circuits #138,51,194.9798872022137,10,no,paper,strangely hopeful,obedient,text,3,isometric 3D,never,freedom,dark
1046680,Bright Circuits #5,52,194.69561414351315,10,no,glass,chiefly satisfied,obedient,random points,2,isometric 3D,never,heart,bright
1063626,Bright Circuits #148,52,194.69561414351315,10,no,glass,partly sceptic,obedient,random points,2,isometric 3D,never,heart,bright
1046964,Bright Circuits #56,54,194.31258895431972,10,no,sandpaper,possibly tormented,obedient,random points,3,isometric 3D,never,boxed,dark
1046708,Bright Circuits #20,55,194.13409429171043,10,no,sandpaper,randomly in love,obedient,random points,3,isometric 3D,never,circle,bright
1047341,Bright Circuits #73,55,194.13409429171043,10,no,sandpaper,mostly in love,obedient,random points,3,isometric 3D,never,circle,bright
1125952,Bright Circuits #157,57,193.9150143444028,10,no,glass,relatively ecstatic,obedient,text,2,isometric 3D,never,heart,bright
1046703,Bright Circuits #17,58,193.566647248536,10,no,sandpaper,particularly dubious,obedient,random points,2,flat 2D,never,circle,bright
1047196,Bright Circuits #67,58,193.566647248536,10,no,sandpaper,almost doubtful,obedient,random points,2,flat 2D,never,circle,bright
1046701,Bright Circuits #15,60,193.54176203645974,10,no,glass,clearly jealous,obedient,text,3,isometric 3D,never,freedom,bright
1047136,Bright Circuits #61,61,193.35349449260008,10,no,sandpaper,sadly bewitched,obedient,text,3,isometric 3D,never,circle,bright
1046699,Bright Circuits #14,62,193.00139191114528,10,no,glass,maybe sarcastic,obedient,random points,2,flat 2D,never,boxed,dark
1145403,Bright Circuits #168,63,192.96454211203493,10,no,sandpaper,hopefully ecstatic,obedient,text,2,flat 2D,never,boxed,dark
1046941,Bright Circuits #54,64,192.85831391520267,10,no,sandpaper,definitely bored,obedient,random points,2,flat 2D,never,boxed,bright
1134490,Bright Circuits #160,65,192.82289724853598,10,no,glass,particularly creative,obedient,random points,2,flat 2D,never,circle,bright
1046712,Bright Circuits #22,66,192.78823915520937,10,no,glass,mostly tormented,obedient,text,3,isometric 3D,never,boxed,dark
1046731,Bright Circuits #34,66,192.78823915520937,10,no,glass,slightly pessimistic,obedient,text,3,isometric 3D,never,boxed,dark
1047548,Bright Circuits #96,68,192.6820109583771,10,no,glass,potentially alive,obedient,random points,3,isometric 3D,never,boxed,bright
1047643,Bright Circuits #102,68,192.6820109583771,10,no,glass,randomly happy,obedient,random points,3,isometric 3D,never,boxed,bright
1066258,Bright Circuits #152,70,192.59359461923697,10,no,paper,vaguely hopeful,obedient,text,2,flat 2D,never,circle,bright
1046730,Bright Circuits #33,71,192.4527083290781,10,no,paper,mostly optimistic,obedient,text,3,isometric 3D,never,boxed,bright
1047361,Bright Circuits #75,71,192.4527083290781,10,no,paper,possibly thrilled,obedient,text,3,isometric 3D,never,boxed,bright
1125942,Bright Circuits #156,73,191.88526128590365,10,no,paper,sadly optimistic,obedient,text,2,flat 2D,never,boxed,bright
1047688,Bright Circuits #106,74,189.46654301664876,10,no,sandpaper,increasingly thrilled,obedient,random points,2,isometric 3D,never,freedom,dark
1053904,Bright Circuits #126,74,189.46654301664876,10,no,sandpaper,strangely adorable,obedient,random points,2,isometric 3D,never,freedom,dark
1055492,Bright Circuits #130,74,189.46654301664876,10,no,sandpaper,randomly puzzled,obedient,random points,2,isometric 3D,never,freedom,dark
1145402,Bright Circuits #167,77,189.27409018646009,10,no,paper,tenderly confused,obedient,random points,2,isometric 3D,never,freedom,dark
1046713,Bright Circuits #23,78,188.57971502070615,10,no,sandpaper,eventually cute,obedient,random points,2,isometric 3D,never,freedom,bright
1145387,Bright Circuits #165,78,188.57971502070615,10,no,sandpaper,blissfully bored,obedient,random points,2,isometric 3D,never,freedom,bright
1046773,Bright Circuits #47,80,188.49349038734974,10,no,paper,hopefully lustful,obedient,text,2,isometric 3D,never,freedom,dark
1047519,Bright Circuits #90,80,188.49349038734974,10,no,paper,tenderly angry,obedient,text,2,isometric 3D,never,freedom,dark
1145384,Bright Circuits #162,80,188.49349038734974,10,no,paper,slightly ecstatic,obedient,text,2,isometric 3D,never,freedom,dark
1046821,Bright Circuits #49,83,188.38726219051748,10,no,paper,nearly ecstatic,obedient,random points,2,isometric 3D,never,freedom,bright
1046838,Bright Circuits #51,83,188.38726219051748,10,no,paper,bizarrely deterministic,obedient,random points,2,isometric 3D,never,freedom,bright
1047731,Bright Circuits #107,83,188.38726219051748,10,no,paper,strangely tormented,obedient,random points,2,isometric 3D,never,freedom,bright
1046736,Bright Circuits #37,86,187.9421932175384,10,no,glass,plain optimistic,obedient,text,2,isometric 3D,never,freedom,dark
1047362,Bright Circuits #76,86,187.9421932175384,10,no,glass,probably lustful,obedient,text,2,isometric 3D,never,freedom,dark
1047375,Bright Circuits #77,86,187.9421932175384,10,no,glass,shamelessly relieved,obedient,text,2,isometric 3D,never,freedom,dark
1047199,Bright Circuits #68,89,187.83596502070614,10,no,glass,almost shameless,obedient,random points,2,isometric 3D,never,freedom,bright
1047459,Bright Circuits #83,89,187.83596502070614,10,no,glass,partly nostalgic,obedient,random points,2,isometric 3D,never,freedom,bright
1046687,Bright Circuits #6,91,187.82619213945577,10,no,sandpaper,nearly envious,obedient,random points,2,isometric 3D,never,boxed,dark
1055782,Bright Circuits #133,91,187.82619213945577,10,no,sandpaper,relatively happy,obedient,random points,2,isometric 3D,never,boxed,dark
1046716,Bright Circuits #26,93,187.79077547278908,10,no,glass,almost adventurous,obedient,random points,2,isometric 3D,never,circle,dark
1046996,Bright Circuits #58,93,187.79077547278908,10,no,glass,probably alive,obedient,random points,2,isometric 3D,never,circle,dark
1046737,Bright Circuits #38,95,187.75392567367874,10,no,sandpaper,strangely puzzled,obedient,text,2,isometric 3D,never,circle,dark
1047395,Bright Circuits #78,95,187.75392567367874,10,no,sandpaper,bizarrely loving,obedient,text,2,isometric 3D,never,circle,dark
1063615,Bright Circuits #145,95,187.75392567367874,10,no,sandpaper,eventually hungry,obedient,text,2,isometric 3D,never,circle,dark
1047192,Bright Circuits #65,98,187.64769747684647,10,no,sandpaper,randomly satisfied,obedient,random points,2,isometric 3D,never,circle,bright
1047227,Bright Circuits #71,99,187.6337393092671,10,no,paper,tenderly proud,obedient,random points,2,isometric 3D,never,boxed,dark
1050658,Bright Circuits #120,99,187.6337393092671,10,no,paper,tenderly hopeful,obedient,random points,2,isometric 3D,never,boxed,dark
1087632,Bright Circuits #155,99,187.6337393092671,10,no,paper,almost anxious,obedient,random points,2,isometric 3D,never,boxed,dark
1047302,Bright Circuits #72,102,187.60666239140713,10,no,paper,plain nostalgic,obedient,text,2,isometric 3D,never,freedom,bright
1046824,Bright Circuits #50,103,187.56147284349007,10,no,paper,potentially adventurous,obedient,text,2,isometric 3D,never,circle,dark
1048097,Bright Circuits #112,103,187.56147284349007,10,no,paper,vaguely shameless,obedient,text,2,isometric 3D,never,circle,dark
1055499,Bright Circuits #131,103,187.56147284349007,10,no,paper,clearly amazed,obedient,text,2,isometric 3D,never,circle,dark
1055884,Bright Circuits #135,103,187.56147284349007,10,no,paper,maybe happy,obedient,text,2,isometric 3D,never,circle,dark
1046963,Bright Circuits #55,107,187.4552446466578,10,no,paper,maybe satisfied,obedient,random points,2,isometric 3D,never,circle,bright
1047141,Bright Circuits #63,107,187.4552446466578,10,no,paper,clearly ecstatic,obedient,random points,2,isometric 3D,never,circle,bright
1047215,Bright Circuits #70,107,187.4552446466578,10,no,paper,randomly grateful,obedient,random points,2,isometric 3D,never,circle,bright
1047462,Bright Circuits #84,110,187.08244213945576,10,no,glass,almost ecstatic,obedient,random points,2,isometric 3D,never,boxed,dark
1047635,Bright Circuits #99,111,187.0553652215958,10,no,glass,mostly loving,obedient,text,2,isometric 3D,never,freedom,bright
1046526,Bright Circuits #4,112,187.04559234034542,10,no,sandpaper,hopefully proud,obedient,text,2,isometric 3D,never,boxed,dark
1046746,Bright Circuits #40,112,187.04559234034542,10,no,sandpaper,maybe bewildered,obedient,text,2,isometric 3D,never,boxed,dark
1046758,Bright Circuits #44,112,187.04559234034542,10,no,sandpaper,plain thrilled,obedient,text,2,isometric 3D,never,boxed,dark
1047650,Bright Circuits #103,112,187.04559234034542,10,no,sandpaper,mostly melancholic,obedient,text,2,isometric 3D,never,boxed,dark
1052590,Bright Circuits #125,112,187.04559234034542,10,no,sandpaper,potentially delighted,obedient,text,2,isometric 3D,never,boxed,dark
1066256,Bright Circuits #151,117,187.01017567367873,10,no,glass,vaguely satisfied,obedient,text,2,isometric 3D,never,circle,dark
1047824,Bright Circuits #108,118,186.93936414351316,10,no,sandpaper,hopefully clueless,obedient,random points,2,isometric 3D,never,boxed,bright
1046688,Bright Circuits #7,119,186.90394747684647,10,no,glass,strangely anxious,obedient,random points,2,isometric 3D,never,circle,bright
1046698,Bright Circuits #13,120,186.86709767773613,10,no,sandpaper,tenderly sad,obedient,text,2,isometric 3D,never,circle,bright
1046907,Bright Circuits #52,120,186.86709767773613,10,no,sandpaper,randomly sarcastic,obedient,text,2,isometric 3D,never,circle,bright
1047063,Bright Circuits #60,120,186.86709767773613,10,no,sandpaper,partly mystical,obedient,text,2,isometric 3D,never,circle,bright
1048478,Bright Circuits #118,120,186.86709767773613,10,no,sandpaper,vaguely cute,obedient,text,2,isometric 3D,never,circle,bright
1134488,Bright Circuits #159,120,186.86709767773613,10,no,sandpaper,blissfully in love,obedient,text,2,isometric 3D,never,circle,bright
1145608,Bright Circuits #170,120,186.86709767773613,10,no,sandpaper,shamelessly grateful,obedient,text,2,isometric 3D,never,circle,bright
1047594,Bright Circuits #98,126,186.85313951015675,10,no,paper,nearly cute,obedient,text,2,isometric 3D,never,boxed,dark
1052583,Bright Circuits #124,126,186.85313951015675,10,no,paper,sadly nostalgic,obedient,text,2,isometric 3D,never,boxed,dark
1050723,Bright Circuits #121,128,186.7469113133245,10,no,paper,particularly angry,obedient,random points,2,isometric 3D,never,boxed,bright
1046694,Bright Circuits #9,129,186.67464484754746,10,no,paper,nearly puzzled,obedient,text,2,isometric 3D,never,circle,bright
1046726,Bright Circuits #31,130,186.30184234034542,10,no,glass,joyfully nostalgic,obedient,text,2,isometric 3D,never,boxed,dark
1063830,Bright Circuits #150,130,186.30184234034542,10,no,glass,sadly confused,obedient,text,2,isometric 3D,never,boxed,dark
1145383,Bright Circuits #161,130,186.30184234034542,10,no,glass,slightly bored,obedient,text,2,isometric 3D,never,boxed,dark
1047140,Bright Circuits #62,133,186.19561414351315,10,no,glass,bloody sarcastic,obedient,random points,2,isometric 3D,never,boxed,bright
1047468,Bright Circuits #85,133,186.19561414351315,10,no,glass,oddly angry,obedient,random points,2,isometric 3D,never,boxed,bright
1063633,Bright Circuits #149,133,186.19561414351315,10,no,glass,weirdly relieved,obedient,random points,2,isometric 3D,never,boxed,bright
1047458,Bright Circuits #82,136,186.1587643444028,10,no,sandpaper,half cute,obedient,text,2,isometric 3D,never,boxed,bright
1055934,Bright Circuits #136,136,186.1587643444028,10,no,sandpaper,compulsively creative,obedient,text,2,isometric 3D,never,boxed,bright
1063612,Bright Circuits #144,136,186.1587643444028,10,no,sandpaper,weirdly angry,obedient,text,2,isometric 3D,never,boxed,bright
1046718,Bright Circuits #27,139,186.12334767773612,10,no,glass,vaguely ecstatic,obedient,text,2,isometric 3D,never,circle,bright
1046735,Bright Circuits #36,139,186.12334767773612,10,no,glass,compulsively deterministic,obedient,text,2,isometric 3D,never,circle,bright
1046759,Bright Circuits #45,139,186.12334767773612,10,no,glass,partly hopeful,obedient,text,2,isometric 3D,never,circle,bright
1047504,Bright Circuits #89,139,186.12334767773612,10,no,glass,half shameless,obedient,text,2,isometric 3D,never,circle,bright
1054020,Bright Circuits #128,139,186.12334767773612,10,no,glass,weirdly puzzled,obedient,text,2,isometric 3D,never,circle,bright
1046696,Bright Circuits #11,144,185.96631151421414,10,no,paper,strangely irritated,obedient,text,2,isometric 3D,never,boxed,bright
1046721,Bright Circuits #28,144,185.96631151421414,10,no,paper,hopefully dubious,obedient,text,2,isometric 3D,never,boxed,bright
1046734,Bright Circuits #35,144,185.96631151421414,10,no,paper,compulsively puzzled,obedient,text,2,isometric 3D,never,boxed,bright
1046915,Bright Circuits #53,144,185.96631151421414,10,no,paper,increasingly joyful,obedient,text,2,isometric 3D,never,boxed,bright
1047533,Bright Circuits #94,144,185.96631151421414,10,no,paper,sadly satisfied,obedient,text,2,isometric 3D,never,boxed,bright
1145410,Bright Circuits #169,144,185.96631151421414,10,no,paper,somehow delighted,obedient,text,2,isometric 3D,never,boxed,bright
1047476,Bright Circuits #87,150,185.4150143444028,10,no,glass,almost hopeful,obedient,text,2,isometric 3D,never,boxed,bright
1047523,Bright Circuits #91,150,185.4150143444028,10,no,glass,vaguely delighted,obedient,text,2,isometric 3D,never,boxed,bright
1047642,Bright Circuits #101,150,185.4150143444028,10,no,glass,bizarrely hungry,obedient,text,2,isometric 3D,never,boxed,bright
1048123,Bright Circuits #115,150,185.4150143444028,10,no,glass,clearly satisfied,obedient,text,2,isometric 3D,never,boxed,bright
1063620,Bright Circuits #147,150,185.4150143444028,10,no,glass,definitely worried,obedient,text,2,isometric 3D,never,boxed,bright
1046754,Bright Circuits #41,155,183.30937163185217,10,no,75k pink,bizarrely creative,cartesian rebellion,text,2,isometric 3D,never,freedom,bright
1046755,Bright Circuits #42,156,131.26635862309325,10,no,paper,substancially grateful,obedient,random points,1,flat 2D,never,heart,dark
1052145,Bright Circuits #123,157,123.84379471076493,10,no,glass,substancially grateful,obedient,text,3,isometric 3D,never,skull,dark
1047424,Bright Circuits #80,158,110.24691131332445,10,no,paper,randomly clueless,obedient,random points,2,isometric 3D,never,heart,bright
1046714,Bright Circuits #24,159,103.4934903873497,10,no,paper,bizarrely creative,obedient,text,2,isometric 3D,never,freedom,dark
1046711,Bright Circuits #21,160,102.82619213945574,10,no,sandpaper,chiefly hungry,obedient,random points,2,isometric 3D,never,boxed,dark
1145385,Bright Circuits #163,161,102.79911522159577,10,no,sandpaper,randomly clueless,obedient,text,2,isometric 3D,never,freedom,bright
1046697,Bright Circuits #12,162,102.79077547278908,10,no,glass,clearly loving,obedient,random points,2,isometric 3D,never,circle,dark
1047538,Bright Circuits #95,163,102.60666239140708,10,no,paper,clearly loving,obedient,text,2,isometric 3D,never,freedom,bright
1145386,Bright Circuits #164,164,101.74691131332445,10,no,paper,bizarrely curious,obedient,random points,2,isometric 3D,never,boxed,bright
1047641,Bright Circuits #100,165,101.15876434440278,10,no,sandpaper,bizarrely curious,obedient,text,2,isometric 3D,never,boxed,bright
1046728,Bright Circuits #32,166,100.41501434440278,10,no,glass,chiefly hungry,obedient,text,2,isometric 3D,never,boxed,bright
1047399,Bright Circuits #79,167,68.15157348418775,10,yes,glass,oddly joyful,obedient,text,2,isometric 3D,never,boxed,bright
1046772,Bright Circuits #46,168,60.061472843490066,10,no,paper,oddly joyful,obedient,text,2,isometric 3D,never,circle,dark
1056068,Bright Circuits #137,169,59.439364143513146,10,no,sandpaper,oddly joyful,obedient,random points,2,isometric 3D,never,boxed,bright
1046786,Bright Circuits #48,170,58.62334767773613,10,no,glass,oddly joyful,obedient,text,2,isometric 3D,never,circle,bright
