ID,Name,Rank,Rarity_Score,Attributes-Scores,black & white-Scores,board material-Scores,feeling-Scores,free will-Scores,mode-Scores,number of layers-Scores,rendering-Scores,round pads drilling-Scores,shape-Scores,side-Scores
1046705,Bright Circuits #19,1,261.22603829851886,1,1,56,170,21,1,1,1,1,4,1
1046723,Bright Circuits #29,2,239.42543101106946,1,1,56,170,1,1,1,1,1,2,1
1048100,Bright Circuits #114,3,234.2293485675727,1,1,3,170,28,1,15,7,1,2,2
1046487,Bright Circuits #2,4,226.50291776287827,1,11,3,170,1,2,15,7,1,11,2
1047156,Bright Circuits #64,5,222.78918208393517,1,1,3,170,28,1,1,1,1,11,2
1047661,Bright Circuits #105,6,222.5967292537465,1,1,3,170,28,1,1,1,1,11,2
1047359,Bright Circuits #74,7,220.56166756952317,1,1,2,170,21,1,7,1,1,11,1
1063564,Bright Circuits #140,8,215.7370801309395,1,1,3,170,28,1,1,1,1,4,2
1046993,Bright Circuits #57,9,214.98872586772077,1,1,3,170,21,2,7,1,1,3,2
1047435,Bright Circuits #81,10,213.9182345911372,1,1,3,170,28,1,1,1,1,3,1
1087563,Bright Circuits #154,11,211.9159959127985,1,11,3,170,1,2,7,7,1,4,2
1046483,Bright Circuits #1,12,208.8437947107649,1,1,2,170,1,1,7,1,1,18,2
1047475,Bright Circuits #86,13,208.7007167148223,1,1,3,170,1,1,7,1,1,18,1
1048099,Bright Circuits #113,14,208.50232905285682,1,1,3,170,21,2,1,1,1,3,2
1047908,Bright Circuits #109,15,208.13326967164787,1,1,3,170,1,1,1,7,1,18,1
1046743,Bright Circuits #39,16,207.99622143096255,1,1,2,170,21,2,1,1,1,4,1
1053991,Bright Circuits #127,17,207.96858433453235,1,1,2,170,1,2,15,7,1,4,1
1055504,Bright Circuits #132,17,207.96858433453235,1,1,2,170,1,2,15,7,1,4,1
1069633,Bright Circuits #153,19,207.76691880166354,1,1,3,170,21,1,1,1,1,4,1
1046724,Bright Circuits #30,20,207.21506145328198,1,1,2,170,1,2,15,7,1,2,2
1047658,Bright Circuits #104,21,207.17821165417163,1,1,3,170,1,1,15,7,1,2,2
1046704,Bright Circuits #18,22,206.80726416137367,1,1,3,170,1,1,15,7,1,3,1
1055835,Bright Circuits #134,22,206.80726416137367,1,1,3,170,1,1,15,7,1,3,1
1047527,Bright Circuits #93,24,206.29138365822902,1,1,3,170,1,1,15,7,1,2,1
1047194,Bright Circuits #66,25,206.28360408799253,1,1,2,170,21,1,1,1,1,3,1
1047930,Bright Circuits #110,25,206.28360408799253,1,1,2,170,21,1,1,1,1,3,1
1048128,Bright Circuits #116,27,206.25596699156233,1,1,2,170,1,1,15,7,1,3,1
1046715,Bright Circuits #25,28,205.81900127924072,1,11,2,170,1,2,1,1,1,11,2
1048394,Bright Circuits #117,29,204.9321732832981,1,11,2,170,1,2,1,1,1,11,1
1056158,Bright Circuits #139,30,204.89532348418777,1,11,3,170,1,1,1,1,1,11,1
1046693,Bright Circuits #8,31,203.1379976950113,1,1,2,170,1,2,1,1,1,18,2
1063569,Bright Circuits #142,32,202.68926746886305,1,11,3,170,1,1,7,1,1,2,1
1134486,Bright Circuits #158,33,202.2511696990687,1,1,2,170,1,2,1,1,1,18,1
1051958,Bright Circuits #122,34,202.21431989995835,1,1,3,170,1,1,1,1,1,18,1
1047526,Bright Circuits #92,35,202.02186706976968,1,1,3,170,1,1,1,1,1,18,1
1054028,Bright Circuits #129,36,201.47056989995835,1,1,2,170,1,1,1,1,1,18,1
1145389,Bright Circuits #166,37,201.28823915520937,1,1,2,170,1,1,7,1,1,11,2
1047558,Bright Circuits #97,38,201.12813960320221,1,1,2,170,1,2,7,7,1,4,2
1046702,Bright Circuits #16,39,199.30929406339993,1,1,2,170,1,2,7,7,1,3,1
1046493,Bright Circuits #3,40,198.9593521564337,1,11,2,170,1,2,1,1,1,4,2
1046756,Bright Circuits #43,40,198.9593521564337,1,11,2,170,1,2,1,1,1,4,2
1063617,Bright Circuits #146,42,198.17875235732336,1,11,2,170,1,1,1,1,1,4,2
1063610,Bright Circuits #143,43,197.88425661663143,1,11,3,170,1,2,1,1,1,3,1
1063566,Bright Circuits #141,44,197.29192436138075,1,11,2,170,1,1,1,1,1,4,1
1047047,Bright Circuits #59,45,197.17592328329812,1,11,3,170,1,2,1,1,1,2,1
1047478,Bright Circuits #88,45,197.17592328329812,1,11,3,170,1,2,1,1,1,2,1
1050323,Bright Circuits #119,47,196.35990681752108,1,11,2,170,1,1,1,1,1,3,1
1046695,Bright Circuits #10,48,195.43936414351316,1,1,3,170,1,2,1,1,1,11,1
1047207,Bright Circuits #69,49,195.38549278833827,1,1,3,170,1,2,1,7,1,4,2
1047943,Bright Circuits #111,50,195.2469113133245,1,1,3,170,1,2,1,1,1,11,1
1056072,Bright Circuits #138,51,194.9798872022137,1,1,3,170,1,1,7,1,1,4,2
1046680,Bright Circuits #5,52,194.69561414351315,1,1,2,170,1,2,1,1,1,11,1
1063626,Bright Circuits #148,52,194.69561414351315,1,1,2,170,1,2,1,1,1,11,1
1046964,Bright Circuits #56,54,194.31258895431972,1,1,3,170,1,2,7,1,1,2,2
1046708,Bright Circuits #20,55,194.13409429171043,1,1,3,170,1,2,7,1,1,3,1
1047341,Bright Circuits #73,55,194.13409429171043,1,1,3,170,1,2,7,1,1,3,1
1125952,Bright Circuits #157,57,193.9150143444028,1,1,2,170,1,1,1,1,1,11,1
1046703,Bright Circuits #17,58,193.566647248536,1,1,3,170,1,2,1,7,1,3,1
1047196,Bright Circuits #67,58,193.566647248536,1,1,3,170,1,2,1,7,1,3,1
1046701,Bright Circuits #15,60,193.54176203645974,1,1,2,170,1,1,7,1,1,4,1
1047136,Bright Circuits #61,61,193.35349449260008,1,1,3,170,1,1,7,1,1,3,1
1046699,Bright Circuits #14,62,193.00139191114528,1,1,2,170,1,2,1,7,1,2,2
1145403,Bright Circuits #168,63,192.96454211203493,1,1,3,170,1,1,1,7,1,2,2
1046941,Bright Circuits #54,64,192.85831391520267,1,1,3,170,1,2,1,7,1,2,1
1134490,Bright Circuits #160,65,192.82289724853598,1,1,2,170,1,2,1,7,1,3,1
1046712,Bright Circuits #22,66,192.78823915520937,1,1,2,170,1,1,7,1,1,2,2
1046731,Bright Circuits #34,66,192.78823915520937,1,1,2,170,1,1,7,1,1,2,2
1047548,Bright Circuits #96,68,192.6820109583771,1,1,2,170,1,2,7,1,1,2,1
1047643,Bright Circuits #102,68,192.6820109583771,1,1,2,170,1,2,7,1,1,2,1
1066258,Bright Circuits #152,70,192.59359461923697,1,1,3,170,1,1,1,7,1,3,1
1046730,Bright Circuits #33,71,192.4527083290781,1,1,3,170,1,1,7,1,1,2,1
1047361,Bright Circuits #75,71,192.4527083290781,1,1,3,170,1,1,7,1,1,2,1
1125942,Bright Circuits #156,73,191.88526128590365,1,1,3,170,1,1,1,7,1,2,1
1047688,Bright Circuits #106,74,189.46654301664876,1,1,3,170,1,2,1,1,1,4,2
1053904,Bright Circuits #126,74,189.46654301664876,1,1,3,170,1,2,1,1,1,4,2
1055492,Bright Circuits #130,74,189.46654301664876,1,1,3,170,1,2,1,1,1,4,2
1145402,Bright Circuits #167,77,189.27409018646009,1,1,3,170,1,2,1,1,1,4,2
1046713,Bright Circuits #23,78,188.57971502070615,1,1,3,170,1,2,1,1,1,4,1
1145387,Bright Circuits #165,78,188.57971502070615,1,1,3,170,1,2,1,1,1,4,1
1046773,Bright Circuits #47,80,188.49349038734974,1,1,3,170,1,1,1,1,1,4,2
1047519,Bright Circuits #90,80,188.49349038734974,1,1,3,170,1,1,1,1,1,4,2
1145384,Bright Circuits #162,80,188.49349038734974,1,1,3,170,1,1,1,1,1,4,2
1046821,Bright Circuits #49,83,188.38726219051748,1,1,3,170,1,2,1,1,1,4,1
1046838,Bright Circuits #51,83,188.38726219051748,1,1,3,170,1,2,1,1,1,4,1
1047731,Bright Circuits #107,83,188.38726219051748,1,1,3,170,1,2,1,1,1,4,1
1046736,Bright Circuits #37,86,187.9421932175384,1,1,2,170,1,1,1,1,1,4,2
1047362,Bright Circuits #76,86,187.9421932175384,1,1,2,170,1,1,1,1,1,4,2
1047375,Bright Circuits #77,86,187.9421932175384,1,1,2,170,1,1,1,1,1,4,2
1047199,Bright Circuits #68,89,187.83596502070614,1,1,2,170,1,2,1,1,1,4,1
1047459,Bright Circuits #83,89,187.83596502070614,1,1,2,170,1,2,1,1,1,4,1
1046687,Bright Circuits #6,91,187.82619213945577,1,1,3,170,1,2,1,1,1,2,2
1055782,Bright Circuits #133,91,187.82619213945577,1,1,3,170,1,2,1,1,1,2,2
1046716,Bright Circuits #26,93,187.79077547278908,1,1,2,170,1,2,1,1,1,3,2
1046996,Bright Circuits #58,93,187.79077547278908,1,1,2,170,1,2,1,1,1,3,2
1046737,Bright Circuits #38,95,187.75392567367874,1,1,3,170,1,1,1,1,1,3,2
1047395,Bright Circuits #78,95,187.75392567367874,1,1,3,170,1,1,1,1,1,3,2
1063615,Bright Circuits #145,95,187.75392567367874,1,1,3,170,1,1,1,1,1,3,2
1047192,Bright Circuits #65,98,187.64769747684647,1,1,3,170,1,2,1,1,1,3,1
1047227,Bright Circuits #71,99,187.6337393092671,1,1,3,170,1,2,1,1,1,2,2
1050658,Bright Circuits #120,99,187.6337393092671,1,1,3,170,1,2,1,1,1,2,2
1087632,Bright Circuits #155,99,187.6337393092671,1,1,3,170,1,2,1,1,1,2,2
1047302,Bright Circuits #72,102,187.60666239140713,1,1,3,170,1,1,1,1,1,4,1
1046824,Bright Circuits #50,103,187.56147284349007,1,1,3,170,1,1,1,1,1,3,2
1048097,Bright Circuits #112,103,187.56147284349007,1,1,3,170,1,1,1,1,1,3,2
1055499,Bright Circuits #131,103,187.56147284349007,1,1,3,170,1,1,1,1,1,3,2
1055884,Bright Circuits #135,103,187.56147284349007,1,1,3,170,1,1,1,1,1,3,2
1046963,Bright Circuits #55,107,187.4552446466578,1,1,3,170,1,2,1,1,1,3,1
1047141,Bright Circuits #63,107,187.4552446466578,1,1,3,170,1,2,1,1,1,3,1
1047215,Bright Circuits #70,107,187.4552446466578,1,1,3,170,1,2,1,1,1,3,1
1047462,Bright Circuits #84,110,187.08244213945576,1,1,2,170,1,2,1,1,1,2,2
1047635,Bright Circuits #99,111,187.0553652215958,1,1,2,170,1,1,1,1,1,4,1
1046526,Bright Circuits #4,112,187.04559234034542,1,1,3,170,1,1,1,1,1,2,2
1046746,Bright Circuits #40,112,187.04559234034542,1,1,3,170,1,1,1,1,1,2,2
1046758,Bright Circuits #44,112,187.04559234034542,1,1,3,170,1,1,1,1,1,2,2
1047650,Bright Circuits #103,112,187.04559234034542,1,1,3,170,1,1,1,1,1,2,2
1052590,Bright Circuits #125,112,187.04559234034542,1,1,3,170,1,1,1,1,1,2,2
1066256,Bright Circuits #151,117,187.01017567367873,1,1,2,170,1,1,1,1,1,3,2
1047824,Bright Circuits #108,118,186.93936414351316,1,1,3,170,1,2,1,1,1,2,1
1046688,Bright Circuits #7,119,186.90394747684647,1,1,2,170,1,2,1,1,1,3,1
1046698,Bright Circuits #13,120,186.86709767773613,1,1,3,170,1,1,1,1,1,3,1
1046907,Bright Circuits #52,120,186.86709767773613,1,1,3,170,1,1,1,1,1,3,1
1047063,Bright Circuits #60,120,186.86709767773613,1,1,3,170,1,1,1,1,1,3,1
1048478,Bright Circuits #118,120,186.86709767773613,1,1,3,170,1,1,1,1,1,3,1
1134488,Bright Circuits #159,120,186.86709767773613,1,1,3,170,1,1,1,1,1,3,1
1145608,Bright Circuits #170,120,186.86709767773613,1,1,3,170,1,1,1,1,1,3,1
1047594,Bright Circuits #98,126,186.85313951015675,1,1,3,170,1,1,1,1,1,2,2
1052583,Bright Circuits #124,126,186.85313951015675,1,1,3,170,1,1,1,1,1,2,2
1050723,Bright Circuits #121,128,186.7469113133245,1,1,3,170,1,2,1,1,1,2,1
1046694,Bright Circuits #9,129,186.67464484754746,1,1,3,170,1,1,1,1,1,3,1
1046726,Bright Circuits #31,130,186.30184234034542,1,1,2,170,1,1,1,1,1,2,2
1063830,Bright Circuits #150,130,186.30184234034542,1,1,2,170,1,1,1,1,1,2,2
1145383,Bright Circuits #161,130,186.30184234034542,1,1,2,170,1,1,1,1,1,2,2
1047140,Bright Circuits #62,133,186.19561414351315,1,1,2,170,1,2,1,1,1,2,1
1047468,Bright Circuits #85,133,186.19561414351315,1,1,2,170,1,2,1,1,1,2,1
1063633,Bright Circuits #149,133,186.19561414351315,1,1,2,170,1,2,1,1,1,2,1
1047458,Bright Circuits #82,136,186.1587643444028,1,1,3,170,1,1,1,1,1,2,1
1055934,Bright Circuits #136,136,186.1587643444028,1,1,3,170,1,1,1,1,1,2,1
1063612,Bright Circuits #144,136,186.1587643444028,1,1,3,170,1,1,1,1,1,2,1
1046718,Bright Circuits #27,139,186.12334767773612,1,1,2,170,1,1,1,1,1,3,1
1046735,Bright Circuits #36,139,186.12334767773612,1,1,2,170,1,1,1,1,1,3,1
1046759,Bright Circuits #45,139,186.12334767773612,1,1,2,170,1,1,1,1,1,3,1
1047504,Bright Circuits #89,139,186.12334767773612,1,1,2,170,1,1,1,1,1,3,1
1054020,Bright Circuits #128,139,186.12334767773612,1,1,2,170,1,1,1,1,1,3,1
1046696,Bright Circuits #11,144,185.96631151421414,1,1,3,170,1,1,1,1,1,2,1
1046721,Bright Circuits #28,144,185.96631151421414,1,1,3,170,1,1,1,1,1,2,1
1046734,Bright Circuits #35,144,185.96631151421414,1,1,3,170,1,1,1,1,1,2,1
1046915,Bright Circuits #53,144,185.96631151421414,1,1,3,170,1,1,1,1,1,2,1
1047533,Bright Circuits #94,144,185.96631151421414,1,1,3,170,1,1,1,1,1,2,1
1145410,Bright Circuits #169,144,185.96631151421414,1,1,3,170,1,1,1,1,1,2,1
1047476,Bright Circuits #87,150,185.4150143444028,1,1,2,170,1,1,1,1,1,2,1
1047523,Bright Circuits #91,150,185.4150143444028,1,1,2,170,1,1,1,1,1,2,1
1047642,Bright Circuits #101,150,185.4150143444028,1,1,2,170,1,1,1,1,1,2,1
1048123,Bright Circuits #115,150,185.4150143444028,1,1,2,170,1,1,1,1,1,2,1
1063620,Bright Circuits #147,150,185.4150143444028,1,1,2,170,1,1,1,1,1,2,1
1046754,Bright Circuits #41,155,183.30937163185217,1,1,56,85,28,1,1,1,1,4,1
1046755,Bright Circuits #42,156,131.26635862309325,1,1,3,85,1,2,15,7,1,11,2
1052145,Bright Circuits #123,157,123.84379471076493,1,1,2,85,1,1,7,1,1,18,2
1047424,Bright Circuits #80,158,110.24691131332445,1,1,3,85,1,2,1,1,1,11,1
1046714,Bright Circuits #24,159,103.4934903873497,1,1,3,85,1,1,1,1,1,4,2
1046711,Bright Circuits #21,160,102.82619213945574,1,1,3,85,1,2,1,1,1,2,2
1145385,Bright Circuits #163,161,102.79911522159577,1,1,3,85,1,1,1,1,1,4,1
1046697,Bright Circuits #12,162,102.79077547278908,1,1,2,85,1,2,1,1,1,3,2
1047538,Bright Circuits #95,163,102.60666239140708,1,1,3,85,1,1,1,1,1,4,1
1145386,Bright Circuits #164,164,101.74691131332445,1,1,3,85,1,2,1,1,1,2,1
1047641,Bright Circuits #100,165,101.15876434440278,1,1,3,85,1,1,1,1,1,2,1
1046728,Bright Circuits #32,166,100.41501434440278,1,1,2,85,1,1,1,1,1,2,1
1047399,Bright Circuits #79,167,68.15157348418775,1,11,2,42,1,1,1,1,1,2,1
1046772,Bright Circuits #46,168,60.061472843490066,1,1,3,42,1,1,1,1,1,3,2
1056068,Bright Circuits #137,169,59.439364143513146,1,1,3,42,1,2,1,1,1,2,1
1046786,Bright Circuits #48,170,58.62334767773613,1,1,2,42,1,1,1,1,1,3,1
